Istilah,Frekuensi korpus domain-spesifik,Frekuensi Indo4B,Per sejuta korpus domain-spesifik,Per sejuta Indo4B,Log likelihood,Lebih khas pada,Signifikan,Istilah kelistrikan
kan,2454,998052,808.07,304.66,1727.6,Domain-spesifik,ya,tidak
nama,811,2824980,267.05,862.34,1713.14,Indo4B,ya,tidak
bukan,1124,3369706,370.12,1028.62,1700.58,Indo4B,ya,tidak
disuruh,607,66781,199.88,20.39,1676.81,Domain-spesifik,ya,tidak
menunggu,1658,536012,545.96,163.62,1671.03,Domain-spesifik,ya,tidak
sekarang,5177,3009235,1704.71,918.58,1625.44,Domain-spesifik,ya,tidak
bahkan,823,2775167,271.0,847.13,1622.17,Indo4B,ya,tidak
mengakses,915,179953,301.3,54.93,1615.21,Domain-spesifik,ya,tidak
tahu,778,2676619,256.18,817.05,1600.82,Indo4B,ya,tidak
cuman,609,72574,200.54,22.15,1595.77,Domain-spesifik,ya,tidak
yaa,639,84151,210.41,25.69,1562.02,Domain-spesifik,ya,tidak
pengerjaan,595,71011,195.93,21.68,1557.52,Domain-spesifik,ya,tidak
gini,599,72327,197.24,22.08,1555.63,Domain-spesifik,ya,tidak
nomer,574,66189,189.01,20.2,1537.57,Domain-spesifik,ya,tidak
ganti,1048,251081,345.09,76.64,1520.61,Domain-spesifik,ya,tidak
estimasi,491,46956,161.68,14.33,1480.21,Domain-spesifik,ya,tidak
tetep,526,56232,173.2,17.17,1480.08,Domain-spesifik,ya,tidak
luar,3849,2080997,1267.42,635.23,1475.85,Domain-spesifik,ya,tidak
mengecewakan,528,58747,173.86,17.93,1447.97,Domain-spesifik,ya,tidak
emang,790,152673,260.14,46.6,1417.15,Domain-spesifik,ya,tidak
pengguna,2020,831241,665.16,253.74,1392.68,Domain-spesifik,ya,tidak
melihat,884,2673480,291.09,816.09,1365.15,Indo4B,ya,tidak
solusinya,604,90224,198.89,27.54,1344.57,Domain-spesifik,ya,tidak
perlu,4869,2960569,1603.29,903.73,1332.17,Domain-spesifik,ya,tidak
mulai,1169,3114507,384.94,950.72,1321.58,Indo4B,ya,tidak
bermasalah,613,95503,201.85,29.15,1320.49,Domain-spesifik,ya,tidak
parah,938,231374,308.87,70.63,1318.75,Domain-spesifik,ya,tidak
jaringan,1961,819722,645.73,250.22,1314.2,Domain-spesifik,ya,ya
selama,948,2731108,312.16,833.68,1304.17,Indo4B,ya,tidak
rating,481,55559,158.39,16.96,1287.0,Domain-spesifik,ya,tidak
penambahan,673,129463,221.61,39.52,1212.35,Domain-spesifik,ya,tidak
diakses,823,196870,271.0,60.1,1196.12,Domain-spesifik,ya,tidak
semangat,1333,471264,438.94,143.86,1180.1,Domain-spesifik,ya,tidak
lumayan,956,268864,314.8,82.07,1155.0,Domain-spesifik,ya,tidak
the,2989,1622772,984.24,495.36,1133.73,Domain-spesifik,ya,tidak
habis,1102,351325,362.87,107.24,1132.23,Domain-spesifik,ya,tidak
bumn,755,176306,248.61,53.82,1125.62,Domain-spesifik,ya,tidak
sedang,943,2560620,310.52,781.64,1119.61,Indo4B,ya,tidak
mengatasi,1552,627156,511.05,191.44,1105.04,Domain-spesifik,ya,tidak
customer,748,176888,246.31,54.0,1100.46,Domain-spesifik,ya,tidak
paling,1182,2906593,389.22,887.25,1076.23,Indo4B,ya,tidak
coba,1768,784102,582.18,239.35,1059.34,Domain-spesifik,ya,tidak
canggih,806,213268,265.4,65.1,1047.04,Domain-spesifik,ya,tidak
wifi,625,130033,205.8,39.69,1046.31,Domain-spesifik,ya,tidak
benar,1665,3608769,548.26,1101.59,1036.47,Indo4B,ya,tidak
menanggapi,520,90573,171.23,27.65,1022.22,Domain-spesifik,ya,tidak
center,741,187197,244.0,57.14,1014.66,Domain-spesifik,ya,tidak
tiap,1499,623483,493.6,190.32,1013.74,Domain-spesifik,ya,tidak
serba,591,120247,194.61,36.71,1010.67,Domain-spesifik,ya,tidak
berkali,504,86027,165.96,26.26,1007.86,Domain-spesifik,ya,tidak
kabel,829,232375,272.98,70.93,1005.62,Domain-spesifik,ya,ya
loading,484,79917,159.37,24.4,994.89,Domain-spesifik,ya,tidak
menit,1851,874703,609.51,267.01,974.05,Domain-spesifik,ya,tidak
diskon,965,314796,317.76,96.09,960.46,Domain-spesifik,ya,ya
hidup,1057,2582471,348.06,788.31,945.05,Indo4B,ya,tidak
instalasi,526,108119,173.2,33.0,890.84,Domain-spesifik,ya,tidak
akun,1570,717402,516.98,218.99,886.13,Domain-spesifik,ya,tidak
masuk,3258,1993454,1072.81,608.51,873.68,Domain-spesifik,ya,tidak
kapan,1144,445541,376.7,136.0,867.82,Domain-spesifik,ya,tidak
usah,647,167993,213.05,51.28,858.95,Domain-spesifik,ya,tidak
rekening,823,260293,271.0,79.46,854.82,Domain-spesifik,ya,tidak
sejak,577,1704027,190.0,520.16,842.52,Indo4B,ya,tidak
murah,2782,1648810,916.07,503.31,824.27,Domain-spesifik,ya,tidak
kirim,803,257751,264.42,78.68,817.35,Domain-spesifik,ya,tidak
kalau,1665,3355941,548.26,1024.42,809.75,Indo4B,ya,tidak
hebat,935,335415,307.88,102.39,809.51,Domain-spesifik,ya,tidak
dulu,2324,1307149,765.26,399.01,801.44,Domain-spesifik,ya,tidak
perihal,480,100178,158.06,30.58,801.16,Domain-spesifik,ya,tidak
dibantu,505,111181,166.29,33.94,799.76,Domain-spesifik,ya,tidak
lainnya,1846,3596999,607.86,1098.0,793.29,Indo4B,ya,tidak
keluar,2133,1170834,702.37,357.4,785.92,Domain-spesifik,ya,tidak
mengisi,918,335568,302.28,102.43,771.89,Domain-spesifik,ya,tidak
depok,639,181395,210.41,55.37,763.23,Domain-spesifik,ya,tidak
lokasi,1941,1041184,639.14,317.83,759.55,Domain-spesifik,ya,tidak
saran,788,262986,259.48,80.28,759.39,Domain-spesifik,ya,tidak
uang,857,2086842,282.2,637.02,759.01,Indo4B,ya,tidak
menghubungi,754,246415,248.28,75.22,748.53,Domain-spesifik,ya,tidak
melakukan,6046,4505697,1990.86,1375.38,733.01,Domain-spesifik,ya,tidak
sedikit,601,1646894,197.9,502.72,730.29,Indo4B,ya,tidak
sering,3398,2226295,1118.91,679.59,719.52,Domain-spesifik,ya,tidak
seluruh,713,1815539,234.78,554.2,714.8,Indo4B,ya,tidak
keperluan,701,226137,230.83,69.03,708.62,Domain-spesifik,ya,tidak
apa,4017,6403851,1322.74,1954.8,700.46,Indo4B,ya,tidak
bekerja,564,1552605,185.72,473.94,693.32,Indo4B,ya,tidak
masukan,599,176623,197.24,53.91,682.23,Domain-spesifik,ya,tidak
penting,843,1988901,277.59,607.12,681.55,Indo4B,ya,tidak
kakak,634,198122,208.77,60.48,669.29,Domain-spesifik,ya,tidak
super,870,337821,286.48,103.12,663.28,Domain-spesifik,ya,tidak
hemat,659,214290,217.0,65.41,658.83,Domain-spesifik,ya,tidak
kalian,615,1597990,202.51,487.79,650.97,Indo4B,ya,tidak
kode,1127,518580,371.11,158.3,627.07,Domain-spesifik,ya,tidak
daftar,2304,1416533,758.67,432.4,608.3,Domain-spesifik,ya,tidak
team,510,146619,167.94,44.76,599.69,Domain-spesifik,ya,tidak
waktu,2790,4627256,918.71,1412.49,598.43,Indo4B,ya,tidak
pihak,2308,1427171,759.99,435.65,598.01,Domain-spesifik,ya,tidak
aman,1753,990786,577.24,302.44,596.41,Domain-spesifik,ya,tidak
akhirnya,680,1647849,223.91,503.01,594.02,Indo4B,ya,tidak
normal,988,442344,325.33,135.03,581.02,Domain-spesifik,ya,tidak
kondisi,590,1491770,194.28,455.37,580.24,Indo4B,ya,tidak
soalnya,560,178825,184.4,54.59,574.07,Domain-spesifik,ya,tidak
desa,643,1567170,211.73,478.39,570.95,Indo4B,ya,tidak
mendapatkan,1720,3131837,566.37,956.01,565.21,Indo4B,ya,tidak
muncul,1670,946592,549.91,288.95,563.62,Domain-spesifik,ya,tidak
hati,796,1779193,262.11,543.11,546.45,Indo4B,ya,tidak
pernah,1535,2840092,505.45,866.95,538.87,Indo4B,ya,tidak
penggunaan,1403,761300,461.99,232.39,532.91,Domain-spesifik,ya,tidak
bapak,1033,493937,340.15,150.78,530.0,Domain-spesifik,ya,tidak
masa,1084,2187419,356.95,667.72,529.37,Indo4B,ya,tidak
jelas,2135,1343882,703.03,410.23,521.21,Domain-spesifik,ya,tidak
malam,2242,1438835,738.26,439.21,511.69,Domain-spesifik,ya,tidak
pokok,720,292542,237.09,89.3,507.75,Domain-spesifik,ya,tidak
rusak,798,343998,262.77,105.01,505.06,Domain-spesifik,ya,tidak
versi,1099,552067,361.89,168.52,504.79,Domain-spesifik,ya,tidak
kinerja,846,378093,278.58,115.41,499.27,Domain-spesifik,ya,tidak
berkat,560,198321,184.4,60.54,494.47,Domain-spesifik,ya,tidak
lakukan,683,1551632,224.9,473.64,493.04,Indo4B,ya,tidak
dibuka,676,271229,222.6,82.79,487.35,Domain-spesifik,ya,tidak
service,671,269900,220.95,82.39,481.63,Domain-spesifik,ya,tidak
buruk,1164,612653,383.29,187.01,477.88,Domain-spesifik,ya,tidak
bila,757,1644438,249.27,501.97,474.68,Indo4B,ya,tidak
tepat,2194,1431253,722.45,436.9,472.05,Domain-spesifik,ya,tidak
naik,1325,749783,436.3,228.87,449.29,Domain-spesifik,ya,tidak
cukup,4218,3230755,1388.93,986.2,442.19,Domain-spesifik,ya,tidak
perubahan,1625,991787,535.09,302.75,439.3,Domain-spesifik,ya,tidak
tarif,593,236146,195.27,72.08,433.11,Domain-spesifik,ya,tidak
kemarin,768,351986,252.89,107.45,430.83,Domain-spesifik,ya,tidak
lihat,622,1385181,204.82,422.83,422.13,Indo4B,ya,tidak
tunggu,812,395214,267.38,120.64,400.71,Domain-spesifik,ya,tidak
terang,639,285130,210.41,87.04,378.29,Domain-spesifik,ya,tidak
mengalami,652,1377276,214.69,420.42,372.9,Indo4B,ya,tidak
tapi,3220,4788686,1060.3,1461.77,370.25,Indo4B,ya,tidak
melalui,3537,2726688,1164.68,832.33,357.68,Domain-spesifik,ya,tidak
klik,1059,603967,348.71,184.36,351.26,Domain-spesifik,ya,tidak
gitu,522,221629,171.89,67.65,339.93,Domain-spesifik,ya,tidak
semuanya,1304,805619,429.39,245.92,338.86,Domain-spesifik,ya,tidak
sebelumnya,1007,1836385,331.59,560.56,333.03,Indo4B,ya,tidak
server,561,250898,184.73,76.59,330.62,Domain-spesifik,ya,ya
kebutuhan,2057,1446309,677.34,441.49,328.01,Domain-spesifik,ya,tidak
membeli,1530,999439,503.81,305.08,327.56,Domain-spesifik,ya,tidak
aceh,823,441418,271.0,134.74,322.15,Domain-spesifik,ya,tidak
katanya,1086,643553,357.6,196.45,321.9,Domain-spesifik,ya,tidak
terjadi,2198,3395200,723.77,1036.4,320.25,Indo4B,ya,tidak
tinggal,1889,1310121,622.02,399.92,319.45,Domain-spesifik,ya,tidak
sesuai,1554,2545400,511.71,776.99,312.88,Indo4B,ya,tidak
warga,508,1091961,167.28,333.33,307.8,Indo4B,ya,tidak
profesional,824,450269,271.33,137.45,307.26,Domain-spesifik,ya,tidak
tim,889,1637297,292.74,499.79,306.28,Indo4B,ya,tidak
awal,698,1364757,229.84,416.6,303.83,Indo4B,ya,tidak
kurang,2220,1614982,731.01,492.98,303.12,Domain-spesifik,ya,tidak
bulan,2855,2191013,940.11,668.82,296.1,Domain-spesifik,ya,tidak
menggunakan,3171,4574170,1044.17,1396.28,295.47,Indo4B,ya,tidak
kerusakan,764,412573,251.57,125.94,293.85,Domain-spesifik,ya,tidak
kualitas,496,1054700,163.33,321.95,290.01,Indo4B,ya,tidak
tampilan,766,419716,252.23,128.12,283.59,Domain-spesifik,ya,tidak
pilihan,681,1304003,224.24,398.05,273.87,Indo4B,ya,tidak
hubungi,528,259676,173.86,79.27,254.56,Domain-spesifik,ya,tidak
nya,1613,2496092,531.14,761.94,237.55,Indo4B,ya,tidak
nyaman,1199,799558,394.81,244.07,237.5,Domain-spesifik,ya,tidak
bantuan,1004,638032,330.6,194.76,237.18,Domain-spesifik,ya,tidak
menyelesaikan,662,372046,217.99,113.57,228.8,Domain-spesifik,ya,tidak
terlalu,810,1413713,266.72,431.54,221.42,Indo4B,ya,tidak
bingung,590,324888,194.28,99.17,215.56,Domain-spesifik,ya,tidak
digital,641,366695,211.07,111.94,210.77,Domain-spesifik,ya,tidak
tiba,1469,1059614,483.72,323.45,208.76,Domain-spesifik,ya,tidak
merasa,1004,1645887,330.6,502.41,203.01,Indo4B,ya,tidak
kok,668,392591,219.96,119.84,203.0,Domain-spesifik,ya,tidak
tengah,855,1444512,281.54,440.94,200.84,Indo4B,ya,tidak
depan,915,1519668,301.3,463.89,197.64,Indo4B,ya,tidak
daerah,1476,2246267,486.03,685.68,196.56,Indo4B,ya,tidak
diberikan,567,1042153,186.71,318.12,193.73,Indo4B,ya,tidak
butuh,759,474114,249.93,144.73,190.15,Domain-spesifik,ya,tidak
terutama,1440,1063555,474.17,324.65,182.64,Domain-spesifik,ya,tidak
suka,1574,1183270,518.3,361.2,182.44,Domain-spesifik,ya,tidak
lanjut,1012,691851,333.24,211.19,181.66,Domain-spesifik,ya,tidak
mana,1323,2004686,435.65,611.94,171.5,Indo4B,ya,tidak
keterangan,560,328313,184.4,100.22,171.43,Domain-spesifik,ya,tidak
balik,643,406230,211.73,124.0,155.01,Domain-spesifik,ya,tidak
sini,780,1271388,256.84,388.1,153.13,Indo4B,ya,tidak
aneh,552,337863,181.77,103.13,147.87,Domain-spesifik,ya,tidak
maupun,1333,1958883,438.94,597.96,141.5,Indo4B,ya,tidak
pengalaman,529,916836,174.19,279.87,140.08,Indo4B,ya,tidak
senang,877,616841,288.78,188.29,139.64,Domain-spesifik,ya,tidak
pekerjaan,715,1162913,235.44,354.98,138.79,Indo4B,ya,tidak
segera,1639,1308454,539.7,399.41,134.53,Domain-spesifik,ya,tidak
ulang,838,590177,275.94,180.15,132.68,Domain-spesifik,ya,tidak
kenapa,486,840864,160.03,256.68,127.68,Indo4B,ya,tidak
mengenai,1121,1657892,369.13,506.08,124.24,Indo4B,ya,tidak
ayo,528,343561,173.86,104.87,114.67,Domain-spesifik,ya,tidak
tetap,2726,2383616,897.63,727.61,112.11,Domain-spesifik,ya,tidak
pagi,1014,770158,333.9,235.09,111.3,Domain-spesifik,ya,tidak
siap,1195,937681,393.5,286.23,109.06,Domain-spesifik,ya,tidak
hujan,606,415122,199.55,126.72,107.89,Domain-spesifik,ya,tidak
tulisan,832,612076,273.97,186.84,107.61,Domain-spesifik,ya,tidak
jangan,1750,2388804,576.25,729.19,104.96,Indo4B,ya,tidak
soal,566,912015,186.38,278.4,104.57,Indo4B,ya,tidak
bank,790,1191028,260.14,363.57,99.21,Indo4B,ya,tidak
punya,1239,1750998,407.99,534.5,99.02,Indo4B,ya,tidak
menarik,1088,1552693,358.26,473.97,93.68,Indo4B,ya,tidak
tindakan,768,572947,252.89,174.89,92.61,Domain-spesifik,ya,tidak
alamat,708,522320,233.13,159.44,90.31,Domain-spesifik,ya,tidak
ataupun,555,863498,182.75,263.59,84.36,Indo4B,ya,tidak
alasan,498,788058,163.98,240.56,83.36,Indo4B,ya,tidak
apapun,883,690223,290.76,210.69,82.43,Domain-spesifik,ya,tidak
data,2091,1837575,688.54,560.93,82.07,Domain-spesifik,ya,tidak
minggu,562,862072,185.06,263.15,78.54,Indo4B,ya,tidak
manfaat,622,934282,204.82,285.19,76.3,Indo4B,ya,tidak
banyak,9723,9587233,3201.65,2926.54,76.11,Domain-spesifik,ya,tidak
berapa,724,558644,238.4,170.53,72.84,Domain-spesifik,ya,tidak
tanya,584,435488,192.3,132.93,70.58,Domain-spesifik,ya,tidak
mengerti,576,431333,189.67,131.67,68.13,Domain-spesifik,ya,tidak
hampir,638,923286,210.08,281.84,60.84,Indo4B,ya,tidak
bagaimana,2557,2360090,841.98,720.43,58.99,Domain-spesifik,ya,tidak
enak,583,452264,191.97,138.06,56.89,Domain-spesifik,ya,tidak
mengetahui,1408,1259011,463.63,384.32,46.56,Domain-spesifik,ya,tidak
sulit,633,882318,208.44,269.33,45.34,Indo4B,ya,tidak
hilang,548,440947,180.45,134.6,42.76,Domain-spesifik,ya,tidak
kaya,523,421852,172.22,128.77,40.17,Domain-spesifik,ya,tidak
sehat,728,982122,239.72,299.8,39.25,Indo4B,ya,tidak
foto,1149,1482511,378.35,452.54,39.11,Indo4B,ya,tidak
apabila,901,1177692,296.69,359.5,35.42,Indo4B,ya,tidak
maksimal,548,459729,180.45,140.33,31.88,Domain-spesifik,ya,tidak
siang,515,430677,169.58,131.47,30.69,Domain-spesifik,ya,tidak
rakyat,499,682598,164.31,208.37,30.49,Indo4B,ya,tidak
sayang,520,439990,171.23,134.31,28.3,Domain-spesifik,ya,tidak
menyediakan,871,785861,286.81,239.89,26.19,Domain-spesifik,ya,tidak
wilayah,1278,1192959,420.83,364.16,25.47,Domain-spesifik,ya,tidak
berfungsi,501,430457,164.97,131.4,24.05,Domain-spesifik,ya,tidak
gratis,1134,1057364,373.41,322.76,22.94,Domain-spesifik,ya,tidak
jauh,1685,1617229,554.85,493.67,22.11,Domain-spesifik,ya,tidak
mahal,520,454661,171.23,138.79,21.4,Domain-spesifik,ya,tidak
memberi,1098,1029057,361.56,314.12,20.71,Domain-spesifik,ya,tidak
berkembang,732,669088,241.04,204.24,19.0,Domain-spesifik,ya,tidak
khususnya,517,671267,170.24,204.91,18.89,Indo4B,ya,tidak
efektif,565,507215,186.05,154.83,17.93,Domain-spesifik,ya,tidak
terpercaya,611,773910,201.19,236.24,16.62,Indo4B,ya,tidak
metode,678,848673,223.26,259.06,15.76,Indo4B,ya,tidak
berkaitan,485,436716,159.7,133.31,14.9,Domain-spesifik,tidak,tidak
kerja,2443,2845900,804.45,868.72,14.8,Indo4B,tidak,tidak
area,593,546523,195.27,166.83,13.94,Domain-spesifik,tidak,tidak
berhasil,992,1201477,326.65,366.76,13.82,Indo4B,tidak,tidak
kadang,714,668794,235.11,204.15,13.57,Domain-spesifik,tidak,tidak
sehari,722,681597,237.74,208.06,12.28,Domain-spesifik,tidak,tidak
baca,570,708054,187.69,216.14,11.89,Indo4B,tidak,tidak
unit,548,513336,180.45,156.7,10.41,Domain-spesifik,tidak,ya
sama,4338,4454236,1428.44,1359.67,10.38,Domain-spesifik,tidak,tidak
tersedia,652,792025,214.69,241.77,9.56,Indo4B,tidak,tidak
dana,847,820733,278.91,250.53,9.4,Domain-spesifik,tidak,ya
tanggal,1540,1560963,507.1,476.49,5.84,Domain-spesifik,tidak,tidak
sungguh,546,535535,179.79,163.47,4.78,Domain-spesifik,tidak,tidak
sistem,1946,2204702,640.79,672.99,4.75,Indo4B,tidak,tidak
hari,4878,5424204,1606.26,1655.76,4.54,Indo4B,tidak,tidak
terbaru,1111,1270447,365.84,387.81,3.85,Indo4B,tidak,tidak
memang,3039,3177588,1000.7,969.97,2.92,Domain-spesifik,tidak,tidak
kali,3068,3406498,1010.25,1039.85,2.58,Indo4B,tidak,tidak
muda,970,1003167,319.41,306.22,1.7,Domain-spesifik,tidak,tidak
mendukung,657,675071,216.34,206.07,1.53,Domain-spesifik,tidak,tidak
ternyata,1195,1334019,393.5,407.22,1.42,Indo4B,tidak,tidak
walaupun,630,653146,207.45,199.38,0.98,Domain-spesifik,tidak,tidak
internet,1038,1148413,341.8,350.56,0.67,Indo4B,tidak,tidak
disini,870,964196,286.48,294.32,0.64,Indo4B,tidak,tidak
dipakai,557,613603,183.41,187.3,0.25,Indo4B,tidak,tidak
turun,561,602049,184.73,183.78,0.01,Domain-spesifik,tidak,tidak
memberikan,3145,3389062,1035.6,1034.53,0.0,Domain-spesifik,tidak,tidak
