Tahun,Jumlah_Data,Pertumbuhan_Tahunan_%
2020,5069,
2021,23602,365.6145196291182
2022,47905,102.97008728073891
2023,55466,15.783321156455488
2024,73989,33.39523311578265
2025,163237,120.62333590128263
2026,18802,-88.48177802826565
